Abdominal aortic aneurysm,pulsating feeling in abdomen,stomach,sudden and severe pain in the abdomen,stomach,null,null,null,null,null,null,"In most cases an AAA causes no noticeable symptoms. However if it becomes large some people may develop a pain or a pulsating feeling in their abdomen (tummy) or persistent back pain.

An AAA doesn’t usually pose a serious threat to health but there’s a risk that a larger aneurysm could burst (rupture).

A ruptured aneurysm can cause massive internal bleeding which is usually fatal. Around 8 out of 10 people with a rupture either die before they reach hospital or don’t survive surgery.

The most common symptom of a ruptured aortic aneurysm is sudden and severe pain in the abdomen.

If you suspect that you or someone else has had a ruptured aneurysm call 999 immediately and ask for an ambulance.","It's not known exactly what causes the aortic wall to weaken although increasing age and being male are known to be the biggest risk factors.

There are other risk factors you can do something about including smoking and having high blood pressure and cholesterol level.

Having a family history of aortic aneurysms also means that you have an increased risk of developing one yourself.",Alcoholic hepatitis,https://www.nhsinform.scot/illnesses-and-conditions/heart-and-blood-vessels/conditions/abdominal-aortic-aneurysm/,TRUE,65,100,TRUE,TRUE,FALSE,0.00,50.00,FALSE,TRUE,FALSE
acute cholecystitis,sudden sharp pain in the upper right side of your tummy,stomach,a high temperature (fever),entire body,nausea and vomiting,mouth,yellowing of the skin and the whites of the eyes (jaundice),eyes,loss of appetite,stomach,"Acute cholecystitis is swelling (inflammation) of the gallbladder. It is a potentially serious condition that usually needs to be treated in hospital.

The main symptom of acute cholecystitis is a sudden sharp pain in the upper right side of your tummy (abdomen) that spreads towards your right shoulder.

The affected part of the abdomen is usually extremely tender and breathing deeply can make the pain worse.

Unlike some others types of abdominal pain the pain associated with acute cholecystitis is usually persistent and doesn't go away within a few hours.","The causes of acute cholecystitis can be grouped into 2 main categories: calculous cholecystitis and acalculous cholecystitis.

Calculous cholecystitis
Calculous cholecystitis is the most common and usually less serious type of acute cholecystitis. It accounts for around 95% of all cases.

Calculous cholecystitis develops when the main opening to the gallbladder called the cystic duct gets blocked by a gallstone or by a substance known as biliary sludge.

Biliary sludge is a mixture of bile (a liquid produced by the liver that helps digest fats) and small crystals of cholesterol and salt.

The blockage in the cystic duct results in a build-up of bile in the gallbladder increasing the pressure inside it and causing it to become inflamed. In around 1 in every 5 cases the inflamed gallbladder also becomes infected by bacteria.

Acalculous cholecystitis
Acalculous cholecystitis is a less common but usually more serious type of acute cholecystitis. It usually develops as a complication of a serious illness infection or injury that damages the gallbladder.

Acalculous cholecystitis is often associated with problems such as accidental damage to the gallbladder during major surgery serious injuries or burns blood poisoning (sepsis) severe malnutrition or AIDS.","Initial treatment will usually involve:                                                                                                                                                  fasting (not eating or drinking) to take the strain off your gallbladder
receiving fluids through a drip directly into a vein (intravenously) to prevent dehydration
taking medication to relieve your pain.                                                                                                                                                   In order to prevent acute cholecystitis recurring and reduce your risk of developing potentially serious complications the removal of your gallbladder will often be recommended at some point after the initial treatment. This type of surgery is known as a cholecystectomy.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,FALSE,1,100,FALSE,FALSE,FALSE,0.00,50.00,FALSE,FALSE,FALSE
acute lymphoblastic leukaemia,pale skin,skin,tiredness,entire body,breathlessness,chest,having repeated infections over a short space of time,entire body,unusual and frequent bleeding such as bleeding gums or nosebleeds or from minor cuts,entire body,"Leukaemia is cancer of the white blood cells. Acute leukaemia means the condition progresses rapidly and aggressively and requires immediate treatment.

Acute leukaemia is classified according to the type of white blood cells affected by cancer. There are two main types:

lymphocytes which are mostly used to fight viral infections
neutrophils which perform several functions such as fighting bacterial infections defending the body against parasites and preventing the spread of tissue damage ","The bone marrow usually produces stem cells which are allowed to fully develop before being released into the blood. But in acute leukaemia bone marrow starts releasing large numbers of immature white blood cells known as blast cells.

As the number of blast cells increases there is a drop in the number of red blood cells and platelet cells. This drop causes the symptoms of anaemia such as tiredness and increases the risk of excessive bleeding.

Also blast cells are less effective than mature white blood cells at fighting bacteria and viruses making you more vulnerable to infection.",Treatments for acute lymphoblastic leukaemia usually involve a combination of chemotherapy and radiotherapy. In some cases a bone marrow transplant may also be needed to achieve a cure.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,TRUE,1,15,FALSE,FALSE,FALSE,0.00,50.00,FALSE,FALSE,FALSE
acute myeloid leukaemia,pale skin,skin,tiredness,entire body,breathlessness,chest,having repeated infections over a short space of time,entire body,unusual and frequent bleeding such as bleeding gums or nosebleeds,nose,"Leukaemia is cancer of the white blood cells. Acute leukaemia means it progresses rapidly and aggressively and usually requires immediate treatment.

Acute leukaemia is classified according to the type of white blood cells affected. The two main types of white blood cells are:

lymphocytes – mostly used to fight viral infections
myeloid cells – which perform a number of different functions such as fighting bacterial infections defending the body against parasites and preventing the spread of tissue damage ","It's not clear exactly why this happens and in most cases there's no identifiable cause. However a number of factors that can increase your risk of developing AML have been identified. These include:

previous chemotherapy or radiotherapy
exposure to very high levels of radiation (including previous  radiotherapy treatment)
exposure to benzene – a chemical used in manufacturing that's also found in cigarette smoke
having an underlying blood disorder or genetic disorder such as Down's syndrome","AML is an aggressive type of cancer that can develop rapidly so treatment usually needs to begin soon after a diagnosis is confirmed.

Chemotherapy is the main treatment for AML. It's used to kill as many leukaemia cells in your body as possible and reduce the risk of the condition coming back (relapsing).

In some cases intensive chemotherapy and radiotherapy may be needed in combination with a bone marrow or stem cell transplant.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-myeloid-leukaemia/,TRUE,65,100,FALSE,FALSE,FALSE,0.00,50.00,FALSE,TRUE,FALSE
acute pancreatitis,suddenly getting severe pain in the centre of your abdomen (tummy),stomach,feeling or being sick,entire body,diarrhoea,stomach,null,null,null,null,"Acute pancreatitis is a serious condition where the pancreas becomes inflamed over a short period of time. The pancreas is a small organ located behind the stomach and below the ribcage.

Most people with acute pancreatitis improve within a week and experience no further problems but severe cases can have serious complications and can even be fatal.","It's thought that acute pancreatitis occurs when a problem develops with some of the enzymes (chemicals) in the pancreas which causes them to try to digest the organ.

Acute pancreatitis is most often linked to:

gallstones – which accounts for around half of all cases
alcohol consumption – which accounts for about a quarter of all cases",,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-pancreatitis/,TRUE,50,100,FALSE,FALSE,FALSE,0.00,50.00,FALSE,FALSE,TRUE
Addison’s disease,fatigue (lack of energy or motivation),entire body,darkened skin or darkened lips or gums,skin,low mood,brain,loss of appetite and unintentional weight loss,stomach,increased thirst,throat,"Addison’s disease (also known as primary adrenal insufficiency or hypoadrenalism) is a rare disorder of the adrenal glands.

The adrenal glands are two small glands that sit on top of the kidneys. They produce essential hormones: cortisol aldosterone and adrenaline.

In Addison's disease the adrenal gland is damaged and not enough cortisol and aldosterone are produced.","The condition is usually the result of a problem with the immune system which causes it to attack the outer layer of the adrenal gland (the adrenal cortex) disrupting the production of steroid hormones aldosterone and cortisol. It's not clear why this happens but it's responsible for 70-90% of cases in the UK.

Other potential causes include conditions that can damage the adrenal glands such as tuberculosis (TB) although this is uncommon in the UK.","Addison’s disease is treated with medication to replace the missing hormones. You'll need to take the medication for the rest of your life.

With treatment symptoms of Addison's disease can largely be controlled. Most people with the condition live a normal lifespan and are able to live an active life with few limitations.",https://www.nhsinform.scot/illnesses-and-conditions/glands/addisons-disease/,TRUE,30,50,TRUE,FALSE,FALSE,0.00,50.00,FALSE,FALSE,FALSE
alcohol-related liver disease,loss of appetite and unintentional weight loss,stomach,yellowing of the eyes and skin (jaundice),eyes,swelling in the ankles and tummy,stomach,vomiting blood or passing blood in your stools,mouth,confusion or drowsiness,brain,"Alcohol-related liver disease (ARLD) refers to liver damage caused by excess alcohol intake. There are several stages of severity and a range of associated symptoms.

ARLD doesn't usually cause any symptoms until the liver has been severely damaged. 
","With the exception of the brain the liver is the most complex organ in the body. Its functions include:

filtering toxins from the blood
aiding digestion of food
regulating blood sugar and cholesterol levels
helping fight infection and disease
The liver is very resilient and capable of regenerating itself. Each time your liver filters alcohol some of the liver cells die.

The liver can develop new cells but prolonged alcohol misuse (drinking too much) over many years can reduce its ability to regenerate. This can result in serious and permanent damage to your liver.","There's currently no specific medical treatment for ARLD. The main treatment is to stop drinking preferably for the rest of your life. This reduces the risk of further damage to your liver and gives it the best chance of recovering.

If a person is dependent on alcohol stopping drinking can be very difficult. However support advice and medical treatment may be available through local alcohol support services.

A liver transplant may be required in severe cases where the liver has stopped functioning and doesn't improve when you stop drinking alcohol.
",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/alcohol-related-liver-disease/,TRUE,21,100,FALSE,FALSE,FALSE,0.00,50.00,FALSE,FALSE,TRUE
allergic rhinitis,sneezing itchiness and a blocked or runny nose,nose,cold-like symptoms,throat,null,null,null,null,null,null,Allergic rhinitis is inflammation of the inside of the nose caused by an allergen such as pollen dust mould or flakes of skin from certain animals.,"Allergic rhinitis is caused by the immune system reacting to an allergen as if it were harmful.

This results in cells releasing a number of chemicals that cause the inside layer of your nose (the mucous membrane) to become swollen and excessive levels of mucus to be produced.

Common allergens that cause allergic rhinitis include pollen – this type of allergic rhinitis is known as hay fever – as well as mould spores house dust mites and flakes of skin or droplets of urine or saliva from certain animals.","It's difficult to completely avoid potential allergens but you can take steps to reduce exposure to a particular allergen you know or suspect is triggering your allergic rhinitis. This will help improve your symptoms.

If your condition is mild you can also help reduce the symptoms by taking over-the-counter medications such as non-sedating antihistamines and by regularly rinsing your nasal passages with a salt water solution to keep your nose free of irritants.",https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/allergic-rhinitis/,FALSE,0,100,FALSE,FALSE,FALSE,0.00,50.00,FALSE,FALSE,FALSE
Alzheimer's disease,confusion disorientation and getting lost in familiar places,brain,difficulty planning or making decisions,brain,problems with speech and language,brain,problems moving around without assistance or performing self-care tasks,legs,hallucinations (seeing or hearing things that aren't there) and delusions (believing things that are untrue),brain,"Alzheimer's disease is the most common type of dementia affecting an estimated 850000 people in the UK.

Dementia is a progressive neurological disease which affects multiple brain functions including memory.","The exact cause of Alzheimer's disease is unknown although a number of things are thought to increase your risk of developing the condition. These include:

increasing age
a family history of the condition
previous severe head injuries
lifestyle factors and conditions associated with cardiovascular disease","There's no cure for Alzheimer's disease but medication is available that can help relieve some of the symptoms and slow down the progression of the condition in some people.

Various other types of support are also available to help people with Alzheimer's live as independently as possible such as making changes to your home environment so it's easier to move around and remember daily tasks.

Psychological treatments such as cognitive stimulation therapy may also be offered to help support your memory problem solving skills and language ability.",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/alzheimers-disease/,TRUE,65,100,FALSE,FALSE,FALSE,0.00,50.00,FALSE,FALSE,FALSE
Appendicitis,pain in middle of tummy to lower right hand side,stomach,nausea,stomach,fever,entire body,diarrhoea,stomach,loss of appetite,stomach,"Appendicitis is a painful swelling of the appendix. The appendix is a small thin pouch about 5-10cm (2-4 inches) long. It's connected to the large intestine where stools (faeces) are formed.  Appendicitis typically starts with a pain in the middle of your tummy (abdomen) that may come and go.

Within hours the pain travels to the lower right-hand side where the appendix usually lies and becomes constant and severe.

Pressing on this area coughing or walking may all make the pain worse. ","t's not exactly clear what the causes of appendicitis are. Most cases are thought to occur when something blocks the entrance of the appendix.

For example a blockage may be formed by a small piece of faeces or an upper respiratory tract infection could lead to a swollen lymph node within the wall of the bowel.

This obstruction leads to the development of inflammation and swelling. The pressure caused by the swelling can then lead to the appendix bursting.

As the causes aren't fully understood there's no guaranteed way of preventing appendicitis.","In most cases of appendicitis the appendix needs to be surgically removed as soon as possible.  The operation is most commonly performed as keyhole surgery (laparoscopy) which involves making several small cuts in your abdomen through which special surgical instruments are inserted.

Open surgery where a larger single cut is made in the abdomen is usually carried out if the appendix has burst or access is more difficult.

Most people make a full recovery from an appendectomy in a couple of weeks although strenuous activities may need to be avoided for up to 6 weeks after open surgery. ",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/appendicitis/#about-appendicitis,TRUE,10,20,FALSE,FALSE,FALSE,0.00,50.00,FALSE,FALSE,FALSE
