Abdominal aortic aneurysm,pulsating feeling in abdomen,stomach,sudden and severe pain in the abdomen,stomach,null,null,null,null,null,null,"In most cases an AAA causes no noticeable symptoms. However if it becomes large some people may develop a pain or a pulsating feeling in their abdomen (tummy) or persistent back pain.

An AAA doesn’t usually pose a serious threat to health but there’s a risk that a larger aneurysm could burst (rupture).

A ruptured aneurysm can cause massive internal bleeding which is usually fatal. Around 8 out of 10 people with a rupture either die before they reach hospital or don’t survive surgery.

The most common symptom of a ruptured aortic aneurysm is sudden and severe pain in the abdomen.

If you suspect that you or someone else has had a ruptured aneurysm call 999 immediately and ask for an ambulance.","It's not known exactly what causes the aortic wall to weaken although increasing age and being male are known to be the biggest risk factors.

There are other risk factors you can do something about including smoking and having high blood pressure and cholesterol level.

Having a family history of aortic aneurysms also means that you have an increased risk of developing one yourself.",The goal of abdominal aortic aneurysm treatment is to prevent an aneurysm from rupturing. Treatment may involve careful monitoring or surgery. Which treatment you have depends on the size of the aortic aneurysm and how fast it's growing.,https://www.nhsinform.scot/illnesses-and-conditions/heart-and-blood-vessels/conditions/abdominal-aortic-aneurysm/,TRUE,65,100,TRUE,TRUE,FALSE,0,50,FALSE,TRUE,FALSE
Acanthosis nigricans,Weight gain,entire body,Skin lesion,skin,Allergic reaction,skin,Acne or pimples,skin,Infertility,genitals,Acanthosis nigricans is a skin condition that causes a dark discoloration in body folds and creases. It typically affects the armpits groin and neck.' 'Acanthosis nigricans is a skin condition characterized by areas of dark velvety discoloration in body folds and creases. The affected skin can become thickened. Most often acanthosis nigricans affects your armpits groin and neck.' 'The skin changes of acanthosis nigricans (ak-an-THOE-sis NIE-grih-kuns) typically occur in people who are obese or have diabetes. Children who develop the condition are at higher risk of developing type 2 diabetes. Rarely acanthosis nigricans can be a warning sign of a cancerous tumor in an internal organ such as the stomach or liver.' 'No specific treatment is available for acanthosis nigricans. Treatment of underlying conditions may restore some of the normal color and texture to affected areas of skin.' Acanthosis nigricans is a skin condition that causes a dark discoloration in body folds and creases. It typically affects the armpits groin and neck.   ',Acanthosis nigricans has been associated with Insulin resistance. Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows your body to process sugar. Insulin resistance is what eventually causes type 2 diabetes. Acanthosis nigricans often occurs in people who have disorders such as ovarian cysts underactive thyroids or problems with the adrenal glands.' 'Certain drugs and supplements such as high-dose niacin birth control pills prednisone and other corticosteroids may cause acanthosis nigricans.'  Acanthosis nigricans also sometimes occurs with lymphoma or when a cancerous tumor begins growing in an internal organ such as the stomach colon or liver.',In many situations treating the underlying problem can help fade the discoloration. Examples may include:' 'If you are concerned about the appearance of your skin or if the lesions become uncomfortable or start to smell bad your doctor may refer to a doctor who specializes in skin disorders (dermatologist) or hormone problems (endocrinologist). If your acanthosis nigricans is caused by obesity losing weight may help.' '. If your condition seems to be related to a medication or supplement that you use your doctor may suggest that you stop using that substance.'  If acanthosis nigricans was triggered by a cancerous tumor surgically removing the tumor often clears up the skin discoloration.',https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,FALSE,1,100,FALSE,FALSE,FALSE,0,50,FALSE,FALSE,FALSE
Achalasia,Sharp chest pain,chest,Difficulty in swallowing,mouth,Back pain,entire body,Cough,throat,Regurgitation,stomach,"""Achalasia is a rare disorder that makes it difficult for food and liquid to pass into your stomach. Achalasia occurs when nerves in the tube connecting your mouth and stomach (esophagus) become damaged. As a result the esophagus loses the ability to squeeze food down and the muscular valve between the esophagus and stomach (lower esophageal sphincter) doesn't fully relax  making it difficult for food to pass into your stomach."" ""There's no cure for achalasia. But symptoms can usually be managed with minimally invasive therapy or surgery.""",The exact cause of achalasia is poorly understood. Researchers suspect it may be caused by a loss of nerve cells in the esophagus. There are theories about what causes this but viral infection or autoimmune responses have been suspected. Very rarely achalasia may be caused by an inherited genetic disorder or infection.,Achalasia treatment focuses on relaxing or forcing open the lower esophageal sphincter so that food and liquid can move more easily through your digestive tract.' 'Specific treatment depends on your age and the severity of the condition.',https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,FALSE,1,100,FALSE,FALSE,FALSE,0,50,FALSE,FALSE,FALSE
acne,spots such as blackheads or whiteheads on face back and chest,skin,small red bumps that may feel tender or sore,skin,pustules with a white tip in the centre caused by a build-up of pus,skin,large hard lumps that build up beneath the surface of the skin and can be painful,skin,cysts which are large pus-filled lumps that look similar to boils and carry the greatest risk of causing permanent scarring,skin,"Acne is a common skin condition that affects most people at some point. It causes spots oily skin and sometimes skin that's hot or painful to touch.

Acne most commonly develops on the:

face – this affects almost everyone with acne
back – this affects more than half of people with acne
chest – this affects about 15% of people with acne","Acne is most commonly linked to the changes in hormone levels during puberty but can start at any age.

Certain hormones cause the grease-producing glands next to hair follicles in the skin to produce larger amounts of oil (abnormal sebum).

This abnormal sebum changes the activity of a usually harmless skin bacterium called P. acnes which becomes more aggressive and causes inflammation and pus.

The hormones also thicken the inner lining of the hair follicle causing blockage of the pores (opening of the hair follicles). Cleaning the skin doesn't help to remove this blockage. Hormonal changes such as those that occur during the menstrual cycle or pregnancy can also lead to episodes of acne in women.

There's no evidence that diet poor hygiene or sexual activity play a role in acne.","Treatment for acne depends on how severe it is. It can take several months of treatment before acne symptoms improve. If you just have a few blackheads whiteheads and spots you should be able to treat them successfully with over-the-counter gels or creams (topical treatments) that contain benzoyl peroxide. See your GP if your acne is more widespread as you probably need prescription medication. For exampleif you have a large number of papules and pustules or if over-the-counter medication hasn't worked.
                                                                                                                  Prescription medications that can be used to treat acne include:
topical retinoids
topical antibiotics
azelaic acid
antibiotic tablets
in women the combined oral contraceptive pill
isotretinoin tablets
If you have severe acne your GP can refer you to an expert in treating skin conditions (dermatologist). ",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/#treating-acne,TRUE,11,30,FALSE,FALSE,FALSE,0,50,TRUE,FALSE,FALSE
acute cholecystitis,sudden sharp pain in the upper right side of your tummy,stomach,a high temperature (fever),entire body,nausea and vomiting,mouth,yellowing of the skin and the whites of the eyes (jaundice),eyes,loss of appetite,stomach,"Acute cholecystitis is swelling (inflammation) of the gallbladder. It is a potentially serious condition that usually needs to be treated in hospital.

The main symptom of acute cholecystitis is a sudden sharp pain in the upper right side of your tummy (abdomen) that spreads towards your right shoulder.

The affected part of the abdomen is usually extremely tender and breathing deeply can make the pain worse.

Unlike some others types of abdominal pain the pain associated with acute cholecystitis is usually persistent and doesn't go away within a few hours.","The causes of acute cholecystitis can be grouped into 2 main categories: calculous cholecystitis and acalculous cholecystitis.

Calculous cholecystitis
Calculous cholecystitis is the most common and usually less serious type of acute cholecystitis. It accounts for around 95% of all cases.

Calculous cholecystitis develops when the main opening to the gallbladder called the cystic duct gets blocked by a gallstone or by a substance known as biliary sludge.

Biliary sludge is a mixture of bile (a liquid produced by the liver that helps digest fats) and small crystals of cholesterol and salt.

The blockage in the cystic duct results in a build-up of bile in the gallbladder increasing the pressure inside it and causing it to become inflamed. In around 1 in every 5 cases the inflamed gallbladder also becomes infected by bacteria.

Acalculous cholecystitis
Acalculous cholecystitis is a less common but usually more serious type of acute cholecystitis. It usually develops as a complication of a serious illness infection or injury that damages the gallbladder.

Acalculous cholecystitis is often associated with problems such as accidental damage to the gallbladder during major surgery serious injuries or burns blood poisoning (sepsis) severe malnutrition or AIDS.","Initial treatment will usually involve:                                                                                                                                                  fasting (not eating or drinking) to take the strain off your gallbladder
receiving fluids through a drip directly into a vein (intravenously) to prevent dehydration
taking medication to relieve your pain.                                                                                                                                                   In order to prevent acute cholecystitis recurring and reduce your risk of developing potentially serious complications the removal of your gallbladder will often be recommended at some point after the initial treatment. This type of surgery is known as a cholecystectomy.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,FALSE,1,100,FALSE,FALSE,FALSE,0,50,FALSE,FALSE,FALSE
acute coronary syndrome,Pain spreading from the chest to the shoulders arms upper abdomen back neck or jaw,entire body,Nausea or vomiting,mouth,Shortness of breath,chest,Sudden heavy sweating,entire body,Lightheadedness dizziness or fainting,entire body,Acute coronary syndrome is a term used to describe a range of conditions associated with sudden reduced blood flow to the heart.' 'One such condition is a heart attack (myocardial infarction) when cell death results in damaged or destroyed heart tissue. Even when acute coronary syndrome causes no cell death the reduced blood flow changes how your heart works and is a sign of a high risk of heart attack.' 'Acute coronary syndrome often causes severe chest pain or discomfort. It is a medical emergency that requires prompt diagnosis and care.,"Acute coronary syndrome usually results from the buildup of fatty deposits (plaques) in and on the walls of coronary arteries the blood vessels delivering oxygen and nutrients to heart muscles.' 'When a plaque deposit ruptures or splits a blood clot forms. This clot blocks the flow of blood to heart muscles.' 'When the supply of oxygen to cells is too low cells of the heart muscles can die. The death of cells resulting in damage to muscle tissues is a heart attack (myocardial infarction).' ""Even when there is no cell death the decrease in oxygen still results in heart muscles that don't work the way they should. This change may be temporary or permanent. When acute coronary syndrome doesn't result in cell death it is called unstable angina.","The immediate goals of treatment for acute coronary syndrome are:
Relieve pain and distress
Improve blood flow
Restore heart function as quickly and as best as possible
Long-term treatment goals are to improve overall heart function manage risk factors and lower the risk of a heart attack. A combination of drugs and surgical procedures may be used to meet these goals.",https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/diagnosis-treatment/drc-20352140,TRUE,45,100,FALSE,FALSE,TRUE,30,50,FALSE,TRUE,FALSE
acute lymphoblastic leukaemia,pale skin,skin,tiredness,entire body,breathlessness,chest,having repeated infections over a short space of time,entire body,unusual and frequent bleeding such as bleeding gums or nosebleeds or from minor cuts,entire body,"Leukaemia is cancer of the white blood cells. Acute leukaemia means the condition progresses rapidly and aggressively and requires immediate treatment.

Acute leukaemia is classified according to the type of white blood cells affected by cancer. There are two main types:

lymphocytes which are mostly used to fight viral infections
neutrophils which perform several functions such as fighting bacterial infections defending the body against parasites and preventing the spread of tissue damage ","The bone marrow usually produces stem cells which are allowed to fully develop before being released into the blood. But in acute leukaemia bone marrow starts releasing large numbers of immature white blood cells known as blast cells.

As the number of blast cells increases there is a drop in the number of red blood cells and platelet cells. This drop causes the symptoms of anaemia such as tiredness and increases the risk of excessive bleeding.

Also blast cells are less effective than mature white blood cells at fighting bacteria and viruses making you more vulnerable to infection.",Treatments for acute lymphoblastic leukaemia usually involve a combination of chemotherapy and radiotherapy. In some cases a bone marrow transplant may also be needed to achieve a cure.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,TRUE,1,15,FALSE,FALSE,FALSE,0,50,FALSE,FALSE,FALSE
acute myeloid leukaemia,pale skin,skin,tiredness,entire body,breathlessness,chest,having repeated infections over a short space of time,entire body,unusual and frequent bleeding such as bleeding gums or nosebleeds,nose,"Leukaemia is cancer of the white blood cells. Acute leukaemia means it progresses rapidly and aggressively and usually requires immediate treatment.

Acute leukaemia is classified according to the type of white blood cells affected. The two main types of white blood cells are:

lymphocytes – mostly used to fight viral infections
myeloid cells – which perform a number of different functions such as fighting bacterial infections defending the body against parasites and preventing the spread of tissue damage ","It's not clear exactly why this happens and in most cases there's no identifiable cause. However a number of factors that can increase your risk of developing AML have been identified. These include:

previous chemotherapy or radiotherapy
exposure to very high levels of radiation (including previous  radiotherapy treatment)
exposure to benzene – a chemical used in manufacturing that's also found in cigarette smoke
having an underlying blood disorder or genetic disorder such as Down's syndrome","AML is an aggressive type of cancer that can develop rapidly so treatment usually needs to begin soon after a diagnosis is confirmed.

Chemotherapy is the main treatment for AML. It's used to kill as many leukaemia cells in your body as possible and reduce the risk of the condition coming back (relapsing).

In some cases intensive chemotherapy and radiotherapy may be needed in combination with a bone marrow or stem cell transplant.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-myeloid-leukaemia/,TRUE,65,100,FALSE,FALSE,FALSE,0,50,FALSE,TRUE,FALSE
acute necrotising ulcerative gingivitis,bleeding and painful gums,mouth,painful ulcers,mouth,receding gums inbetween teeth,mouth,bad breath,mouth,metallic taste in mouth,mouth,"The initial symptoms of gum disease can include:
red and swollen gums
bleeding gums after brushing or flossing your teeth
This stage of gum disease is called gingivitis.  If gingivitis is untreated the tissues and bone that support the teeth can also become affected. This is known as periodontitis or periodontal disease. In rare cases a condition called acute necrotising ulcerative gingivitis (ANUG) can develop suddenly.","""Gum disease can be caused by a number of factors but poor oral hygiene is the most common cause.

Poor oral hygiene such as not brushing your teeth properly or regularly can cause plaque to build up on your teeth.  Your mouth is full of bacteria that combine with saliva to form a sticky film known as plaque which builds up on your teeth.

When you consume food and drink high in carbohydrates (sugary or starchy foods) bacteria in plaque turn carbohydrates into the energy they need producing acid at the same time.

Over time acid in plaque begins to break down your tooth's surface and causes tooth decay.

Other bacteria in plaque can also irritate your gums making them inflamed and sore.

Plaque is usually easy to remove by brushing and flossing your teeth but it can harden and form a substance called tartar if it's not removed. Tartar sticks much more firmly to teeth than plaque and can usually only be removed by a dentist or dental hygienist.                                     If you develop gingivitis and don't have the plaque or tartar (hardened plaque) removed from your teeth the condition may get worse and lead to periodontitis.
You may develop further complications if you don't treat periodontitis (where the tissue that supports teeth is affected).    In rare cases a condition called acute necrotising ulcerative gingivitis (ANUG) can develop suddenly. The symptoms of ANUG are usually more severe than those of gum disease ",Acute necrotising ulcerative gingivitis (ANUG) should always be treated by a dentist. However if you see your GP before visiting a dentist they may provide you with some treatment while you wait to see your dentist. Apart from maintaining oral hygiene treatments for ANUG may also include antibiotics painkillers and different types of mouthwash. Treatment with antibiotics such as metronidazole or amoxicillin may be recommended if you have ANUG. You'll usually have to take these for three days.,https://www.nhsinform.scot/illnesses-and-conditions/mouth/gum-disease/#treating-gum-disease,TRUE,30,100,FALSE,FALSE,FALSE,0,50,FALSE,TRUE,FALSE
acute pancreatitis,suddenly getting severe pain in the centre of your abdomen (tummy),stomach,feeling or being sick,entire body,diarrhoea,stomach,null,null,null,null,"Acute pancreatitis is a serious condition where the pancreas becomes inflamed over a short period of time. The pancreas is a small organ located behind the stomach and below the ribcage.

Most people with acute pancreatitis improve within a week and experience no further problems but severe cases can have serious complications and can even be fatal.","It's thought that acute pancreatitis occurs when a problem develops with some of the enzymes (chemicals) in the pancreas which causes them to try to digest the organ.

Acute pancreatitis is most often linked to:

gallstones – which accounts for around half of all cases
alcohol consumption – which accounts for about a quarter of all cases",,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-pancreatitis/,TRUE,50,100,FALSE,FALSE,FALSE,0,50,FALSE,FALSE,TRUE
